FID_riv1	FID_reach_	length_int
24	117160	233.55600000000
24	117927	48.01890000000
24	117928	249.67300000000
24	117931	239.87900000000
24	117932	114.04400000000
24	118700	48.01890000000
24	118701	249.67300000000
24	119474	204.69400000000
24	120248	154.21700000000
24	120249	91.27550000000
24	121023	266.19200000000
24	121797	16.27040000000
24	121798	202.39100000000
24	122572	200.00000000000
24	123346	209.37000000000
24	124119	282.23800000000
24	124120	15.45410000000
24	124892	125.24400000000
24	124893	15.45410000000
25	124892	103.58600000000
25	125666	200.00000000000
25	126440	200.00000000000
25	127214	256.09000000000
25	127987	270.39900000000
25	127988	27.29320000000
25	128759	80.25280000000
25	128760	266.19200000000
25	128761	27.29320000000
25	129533	31.48200000000
26	76715	99.15550000000
26	77489	145.87300000000
26	77490	89.69340000000
26	78264	206.43300000000
26	79038	200.00000000000
26	79812	231.49900000000
26	80586	200.00000000000
26	81360	200.00000000000
26	82134	219.86700000000
26	82135	8.76421000000
26	82909	213.36800000000
26	83683	200.00000000000
26	84457	200.00000000000
26	85231	252.49900000000
26	86005	200.00000000000
26	86779	228.75500000000
26	86780	42.94230000000
26	87554	200.00000000000
26	88328	200.00000000000
26	89102	241.99900000000
26	89876	200.00000000000
26	90650	205.41700000000
26	91424	247.08200000000
26	92198	200.00000000000
26	92972	200.00000000000
26	93746	200.00000000000
26	94520	184.92500000000
26	94521	25.21250000000
26	95295	231.86200000000
26	96069	218.05900000000
26	96070	49.28890000000
26	96844	252.49900000000
26	97618	82.45000000000
26	97619	159.54900000000
26	98393	246.35800000000
26	99167	54.37760000000
26	99168	172.76400000000
26	99942	241.99900000000
26	100716	193.26500000000
26	100717	81.12430000000
26	101491	201.71800000000
26	101492	81.12420000000
26	102266	201.71800000000
26	102267	81.12420000000
26	103041	201.71900000000
26	103042	73.20130000000
26	103816	231.50000000000
26	104590	155.58400000000
26	104591	86.41570000000
26	105365	200.00000000000
26	106139	200.00000000000
26	106913	200.00000000000
26	107687	221.98700000000
26	108461	251.34300000000
26	109235	200.16800000000
26	110009	165.02000000000
26	110010	53.49980000000
26	110784	240.84300000000
26	111558	214.13600000000
26	112332	42.70110000000
26	112333	214.14700000000
26	113107	231.49900000000
26	113881	116.03300000000
26	113882	138.70700000000
26	114656	158.98500000000
26	114657	138.70700000000
26	115431	158.98500000000
26	115432	138.70700000000
26	116206	151.41400000000
26	116207	241.99900000000
26	116208	168.26600000000
26	116982	52.73360000000
26	116983	246.10200000000
26	116984	161.44900000000
26	117758	79.39500000000
26	117759	251.34300000000
26	117760	53.49980000000
26	118534	187.34400000000
26	118535	196.89400000000
26	119309	65.46920000000
26	119310	261.32300000000
26	119311	108.14400000000
26	120085	143.19900000000
26	120086	234.33200000000
26	120087	184.14900000000
26	120861	42.20710000000
26	120862	215.64400000000
